,overall,men,women,ncgmen,ncgwomen,cgmen,cgwomen
nochoiceage25to71,0.363,0.375,0.348,0.479,0.401,0.18,0.266
fixedchoiceage25to71,0.107,0.108,0.107,0.115,0.129,0.093,0.071
largechoiceage25to71,0.379,0.354,0.409,0.239,0.322,0.571,0.545
fullchoiceage25to71,0.151,0.163,0.136,0.167,0.148,0.156,0.118
nochoiceunderage35,0.345,0.368,0.313,0.494,0.373,0.216,0.233
fixedchoiceunderage35,0.12,0.113,0.13,0.117,0.161,0.109,0.088
largechoiceunderage35,0.406,0.367,0.461,0.188,0.329,0.582,0.634
fullchoiceunderage35,0.129,0.152,0.097,0.201,0.137,0.093,0.045
nochoiceage35to49,0.375,0.372,0.379,0.445,0.429,0.166,0.29
fixedchoiceage35to49,0.115,0.118,0.112,0.131,0.135,0.081,0.072
largechoiceage35to49,0.366,0.35,0.384,0.25,0.291,0.633,0.547
fullchoiceage35to49,0.144,0.16,0.125,0.175,0.145,0.12,0.089
nochoiceoverage50,0.363,0.385,0.34,0.511,0.387,0.154,0.267
fixedchoiceoverage50,0.09,0.092,0.088,0.094,0.107,0.088,0.058
largechoiceoverage50,0.374,0.348,0.401,0.258,0.348,0.512,0.484
fullchoiceoverage50,0.173,0.175,0.171,0.136,0.158,0.246,0.191
,,,,,,,
